concessionaria;praca_de_pedagio;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude
EPR IGUAÇU;P05 CASCAVEL;2019;BR-277;PR;571,340;Cascavel;Principal;Crescente/Decrescente;Ativo;;-25,021742;-53,278772
EPR IGUAÇU;P06 CÉU AZUL;2019;BR-277;PR;615,340;Céu Azul;Principal;Crescente/Decrescente;Ativo;;-25,084119;-53,713553
EPR IGUAÇU;P07 SÃO MIQUEL DO IGUAÇU;2019;BR-277;PR;706,070;São Miguel do Iguaçu;Principal;Crescente/Decrescente;Ativo;;-25,426994;-54,364086
LITORAL PIONEIRO;P01 SÃO JOSÉ DOS PINHAIS;2019;BR-277;PR;60,250;São José dos Pinhais;Principal;Crescente/Decrescente;Ativo;;-25,550000;-49,040000
LITORAL PIONEIRO;P03 JACAREZINHO;2019;BR-369;PR;1,400;Jacarezinho;Principal;Crescente/Decrescente;Ativo;;-23,003888;-49,909722
LITORAL PIONEIRO;P05 CARAMBEÍ;2019;151;PR;304,250;Carambeí;Principal;Crescente/Decrescente;Ativo;;-24,912222;-50,086388
LITORAL PIONEIRO;P06 JAGUARIAÍVA;2019;151;PR;223,100;Jaguariaíva;Principal;Crescente/Decrescente;Ativo;;-24,319166;-49,778611
LITORAL PIONEIRO;P08 JACAREZINHO AUX I;2019;Acesso para SP-278;PR;1,653;Jacarezinho;Principal;Crescente/Decrescente;Ativo;;-23,008611;-49,906388
LITORAL PIONEIRO;P09 JACAREZINHO AUX II;2019;Saída para BR-153;PR;1,698;Jacarezinho;Principal;Crescente/Decrescente;Ativo;;-23,008333;-49,906388
LITORAL PIONEIRO;P02 SENGES;2019;151;PR;187,700;Sengés;Principal;Crescente/Decrescente;Ativo;;-24,123056;-49,543889
LITORAL PIONEIRO;P07 QUATIGUÁ;2019;092;PR;286,740;Siqueira Campos;Principal;Crescente/Decrescente;Ativo;;-24,643739;-49,840669
NOVA 364;Free Flow Candeias - P01;2021;BR-364;RO;686,900;Candeias do Jamari;Principal;Crescente/Decrescente;Ativo;;-8,792398;-63,650532
NOVA 364;Free Flow Itapuã - P02;2021;BR-364;RO;562,300;Alto Paraíso;Principal;Crescente/Decrescente;Ativo;;-9,539700;-63,076700
NOVA 364;Free Flow Jarú -  P03 ;2021;BR-364;RO;452,300;Theobroma;Principal;Crescente/Decrescente;Ativo;;-10,287172;-62,670764
NOVA 364;Free Flow Ouro Preto  - P04;2021;BR-364;RO;399,300;Ouro Preto do Oeste;Principal;Crescente/Decrescente;Ativo;;-10,608100;-62,339500
NOVA 364;Free Flow Pres. Médici - P05;2021;BR-364;RO;272,400;Cacoal;Principal;Crescente/Decrescente;Ativo;;-11,384193;-61,735660
NOVA 364;Free Flow Pimenta Bueno1 - P06;2021;BR-364;RO;221,300;Pimenta Bueno;Principal;Crescente/Decrescente;Ativo;;-11,527534;-61,333997
NOVA 364;Free Flow Pimenta Bueno2 - P07;2021;BR-364;RO;122,200;Pimenta Bueno;Principal;Crescente/Decrescente;Ativo;;-12,110803;-60,746925
NOVA 381;Free Flow Caeté - P01;2022;BR-381;MG;411,850;Caeté;Principal;Crescente/Decrescente;Ativo;;-19,743897;-43,615283
NOVA 381;Free Flow João Monlevade - P02;2022;BR-381;MG;342,270;João Monlevade;Principal;Crescente/Decrescente;Ativo;;-19,853947;-43,132689
NOVA 381;Free Flow Jaguaraçú - P03;2022;BR-381;MG;280,150;Jaguaraçu;Principal;Crescente/Decrescente;Ativo;;-19,609967;-42,766233
